序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
5004,002536,飞龙股份,14.28,-3.45,-0.51,185737.0,267597027.0,4.26,14.83,14.2,14.8,14.79,0.62,3.4,16.73,2.37,8207942481.0,7790365478.0,0.0,-0.21,2.81,23.32
5005,002852,道道全,9.45,-3.47,-0.34,157303.0,149820041.26,4.6,9.83,9.38,9.7,9.79,0.61,5.5,18.37,1.57,3250500482.0,2700987150.0,-0.11,-0.21,19.92,14.41
5006,300881,盛德鑫泰,28.87,-3.48,-1.04,22084.0,63797035.0,4.68,29.84,28.44,29.41,29.91,1.36,3.85,16.07,2.89,3175700000.0,1657318438.0,0.0,-0.31,-10.7,-6.08
5007,603813,原尚股份,13.05,-3.48,-0.47,17651.0,22810701.0,8.21,13.59,12.48,13.47,13.52,1.34,1.96,-33.72,2.25,1370445750.0,1173743100.0,-0.15,0.62,7.23,12.6
5008,603261,立航科技,17.45,-3.48,-0.63,22327.0,39165154.0,4.26,18.08,17.31,17.9,18.08,0.79,2.88,-30.02,1.74,1359488004.0,1352462634.0,-0.11,-0.29,-33.09,-37.23
5009,688788,科思科技,69.66,-3.49,-2.52,18666.0,131329957.0,5.29,72.93,69.11,72.0,72.18,1.06,1.77,-26.01,3.41,7366400456.0,7366400456.0,0.0,0.55,114.93,119.89
5010,000922,佳电股份,10.24,-3.49,-0.37,137409.0,141422170.0,4.05,10.59,10.16,10.53,10.61,1.45,2.34,27.76,1.6,7119018537.0,6014144031.0,-0.1,-0.1,-2.57,-9.3
5011,603278,大业股份,8.86,-3.49,-0.32,113164.0,101650080.0,6.21,9.4,8.83,9.35,9.18,0.96,3.31,-21.09,1.4,3027988213.0,3027988213.0,-0.34,0.0,2.67,16.73
5012,300740,水羊股份,11.29,-3.5,-0.41,63212.0,71883866.0,4.1,11.68,11.2,11.6,11.7,0.65,1.77,34.85,2.2,4384341959.0,4034484390.0,-0.18,-0.18,-4.73,-14.6
5013,600439,瑞贝卡,3.31,-3.5,-0.12,740590.0,246228232.0,5.25,3.45,3.27,3.43,3.43,0.86,6.54,282.31,1.37,3746871806.0,3746871806.0,0.0,0.0,-0.9,-1.78
